gene name	p-value
Spn	0.025740792437184117
Fzd7	0.05384961545560813
Ergic1	0.01078051809888592
Pfkfb4	0.00305997469391647
Npm1	0.018841308314977014
Shf	0.22504335705842438
Ypel5	0.05672267000971666
Tnfrsf13c	0.0026610175408140835
Fgf3	0.1558316456760927
Wbscr27	0.04086805802816237
Padi3	0.019169163289857693
Ydjc	0.010187041602767443
Impa2	0.008750632254936781
Trp53inp1	0.044596262977258855
Snhg3	0.14990229425752377
Rcsd1	0.28605806124219746
Snca	0.0824143617093392
Kcnh2	0.14032872179357472
Coro2a	0.07973025137817115
Cuedc1	0.3988096988043386
Mir692-1	0.42264973081037427
Tnfrsf13b	0.08842883297855186
Numbl	0.007691899137063575
Srgn	0.24080863452393111
Tfap4	0.005758034469352969
C2cd2l	0.012032232367162747
Tmem88b	0.04494139414007071
Hcls1	0.03784394786182523
Dlc1	0.020035092276760737
Ctsf	0.01625513142814367
Efha1	0.42758731582722453
Mir486	0.03655506304697159
Ptpru	0.23830098436312225
Bzw2	0.0018104748608142281
Slc45a3	0.40614212959373885
Mxi1	0.005739884446931273
Rrp15	0.007255211731124032
Marcksl1	0.1125246284999945
Smyd5	0.006053286818017834
Serf1	0.011129414246953994
Gm10052	0.10623376780560816
Hyal1	0.0006190357428009206
Fabp5	0.05236783873770473
Rasl11a	0.08975730136390003
Ube2h	0.0031046612056735336
Phlda2	0.43953868032025123
Insl3	0.1919330092188649
Gm13157	0.0006287172891215265
Samsn1	0.0014236323425272839
Rgs19	0.051545445239332445
Elf1	0.030139046681856296
Bri3bp	0.0018721170694598987
Gm11974	0.022774899792389943
March8	0.03199365826881025
Dusp8	0.024677708374670572
Cpa3	0.19583337723938712
Lpcat4	0.03364368975819424
Nudt18	0.00088722104157087
Tsc22d1	0.05725631417477597
Sox12	0.11730865486041528
Slc19a1	0.009412498266796887
Capn5	0.0009014822371291794
Spint2	0.07583135791351017
Tcp11l1	0.0018216219457292693
Trp53inp2	0.0008815977530736305
1810014F10Rik	0.4201581814722595
Creb3l3	0.026995178068606872
Stat5a	0.20360192498052662
Fyn	0.19792626827654455
Hells	0.03218701613711645
Stard8	0.10883174979481892
Sigmar1	0.001804060503061432
Cpeb2	0.01968824348431677
Slc30a1	0.003088189295695488
Unc5cl	0.40149788625022154
Arhgef10l	0.4589787331567392
Cdk6	0.013359802953028615
Rcn3	0.0495446035925621
Npl	0.42866563581823036
Me1	0.24097613875452026
Snora7a	0.06215140495998831
Crlf1	0.0011234168063442127
Slc16a10	0.03456136116062815
Etv5	0.032966745682907625
Sipa1l1	0.1449351459662139
Vps37a	0.06023512560756214
Tbx6	0.01446650413439427
Ccdc102a	0.3629440688546105
Rcbtb2	0.013973832108404487
Stk10	0.233088416224339
Dennd1c	0.28182861236843787
Tubb3	0.0072563262543685605
1700097N02Rik	0.04038702414556839
Mki67ip	0.028225306463973386
Zfp710	0.07126091944254836
Lst1	0.3680863160272322
Gstt2	0.04252485480847242
Rgs12	0.017275146201814664
Npm3	0.040785784591709257
1600014C23Rik	0.19704144838763665
Aacs	0.17793327750402338
Des	0.2423287966763211
Gpatch4	0.017493140564291534
Gm16515	0.0005475699706148003
Dstyk	0.027082206856400722
Rit1	0.09106043403779729
Gdpd1	0.08233746478555162
Slc26a11	0.036880877112012114
Timp3	0.39559796346934517
Bid	0.17149519176088238
Snhg4	0.0829320817443014
Spry4	0.4196672444564744
Fam57b	0.007015063172432024
Arhgap9	0.06907705522380585
Lat	0.012065834607843884
Tgm1	0.27740368771930496
Mettl1	0.014152651024617461
Jak3	0.12429653025703305
Usp49	0.004378531588904086
5730408K05Rik	0.02158391445484477
Pdxk	0.04856323615800962
Rpl26	0.14644681749127872
Ptprs	0.12938537072416328
Gipr	0.16011024972845966
Pxmp4	0.015412997644235238
Fam63b	0.005853508308287229
Itpkb	0.06479774168889937
Tulp2	0.029216502107085762
Lgr4	0.06154888698781531
St6galnac4	0.005454096564479852
Prodh	0.08003044227308283
Ccdc8	0.1939970846800836
Fbxo44	0.008249544333922939
Gcsh	0.03519085047936718
Dus4l	0.14289302441696303
Igf1r	0.10510785249919749
Sema6c	0.0876394116841777
5830405N20Rik	0.1981597743531845
Igsf8	0.027533389470751953
Kif21b	0.15667054667676655
Rps6ka1	0.29892124677458143
Dnmt3b	0.023285057321603485
Fhdc1	0.016655569084023523
